Sucursal,Ubicación,Comuna,Marca,Modelo,Versión,Año,Kilometraje,Placa Patente,Color Exterior,Precio Lista,Link
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,69100,TBDW53,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/TBDW53
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,64443,SZZR85,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZR85
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,ZS,MG ZS 1.5L MT STD ESP,2024,18415,TFCR72,BLANCO,9580000,www.pompeyo.cl/usados/TFCR72
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,KIA MOTORS,SOLUTO,SOLUTO EX 1.4L 5MT G SRF FULL,2025,5557,VBFT40,PLATEADO PLATA TITANIO,10880000,www.pompeyo.cl/usados/VBFT40
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,MG,MG 3,MG 3 1.5 COM AT,2023,30435,SVVV66,AMARILLO,8880000,www.pompeyo.cl/usados/SVVV66
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MAHINDRA,XUV300,XUV300 1.2 ELITE MT,2024,8403,TBSD56,PLATEADO,10980000,www.pompeyo.cl/usados/TBSD56
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,DFM,T5,T5 1.5 NOBLE AT,2024,25282,TBWX21,NEGRO,13880000,www.pompeyo.cl/usados/TBWX21
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,DFSK,SUV 600,SUV 600 1.5 ELITE AT HIBRIDO,2025,16155,VJHX36,GRIS CLARO,18780000,www.pompeyo.cl/usados/VJHX36
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,64536,SZZR72,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZR72
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,56434,SZZR78,BLANCO HIELO,19980000,www.pompeyo.cl/usados/SZZR78
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA 1.2 EDITION AT,2024,17840,THJZ22,ROJO PEPERONCINO RED,13980000,www.pompeyo.cl/usados/THJZ22
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,58554,SZZR57,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZR57
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,NAVARA,NAVARA D CAB MT 4X4 2.3,2024,67113,SZZS12,BLANCO HIELO,24980000,www.pompeyo.cl/usados/SZZS12
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,NAVARA,NAVARA 4X2 2.3,2024,61747,SZZS99,ROJO MAGNETICO.,19980000,www.pompeyo.cl/usados/SZZS99
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,HONDA,HR-V,HR-V LX 1.5 AUT,2024,24008,TRDL10,GRIS,21080000,www.pompeyo.cl/usados/TRDL10
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,FIAT,PULSE,PULSE 1.0 IMPETUS CVT AT,2023,42615,SPLR73,GRIS BARI,13480000,www.pompeyo.cl/usados/SPLR73
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,GEELY,COOLRAY,COOLRAY 1.5 AUT,2023,27498,SLWK86,BLANCO,13980000,www.pompeyo.cl/usados/SLWK86
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,GT,GT 1.5 COM MT,2025,290,VJJX31,GRIS GRAFITO,11780000,www.pompeyo.cl/usados/VJJX31
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GAC GONOW,GS8,GS8 2.0 T GT AT,2023,33875,SZPT76,NEGRO,19180000,www.pompeyo.cl/usados/SZPT76
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,MOKKA,MOKKA  1.2 GS LINE AT,2022,30124,RWGH77,ROJO,15180000,www.pompeyo.cl/usados/RWGH77
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,CHERY,TIGGO 7,TIGGO7 1.5 PRO GLX AT,2024,32904,TFHK57,GRIS GRAFITO,14180000,www.pompeyo.cl/usados/TFHK57
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,KIA MOTORS,SONET,SONET 1.5 EX FULL PLUS AC MT,2023,52692,SJKW23,ROJO RUBI,14480000,www.pompeyo.cl/usados/SJKW23
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,MG,MG 3,MG 3 1.5 COM MT,2024,14489,TPHG25,BLANCO,9080000,www.pompeyo.cl/usados/TPHG25
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,DFSK,SUV 500,500 1.5 LUXURY,2023,13914,SGKV81,GRIS OSCURO,9480000,www.pompeyo.cl/usados/SGKV81
AUTOSHOPPING,av. Departamental 4500,Macul,KIA MOTORS,SONET,SONET 1.5 EX FULL PLUS AC MT,2022,36205,RXZV56,GRIS ACERO,14680000,www.pompeyo.cl/usados/RXZV56
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,GEELY,AZKARRA,AZKARRA 1.5 AUT,2023,39980,SPPL56,NEGRO,12480000,www.pompeyo.cl/usados/SPPL56
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,SUBARU,FORESTER,FORESTER 2.0 XS AWD CVT AT 5P,2023,58602,SWRW41,PLATEADO HIELO CLARO,21180000,www.pompeyo.cl/usados/SWRW41
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,DFSK,SUV 560,SUV 560 OTTO 1.8,2023,18215,SPLG91,GRIS CLARO,9980000,www.pompeyo.cl/usados/SPLG91
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,TOYOTA,YARIS,YARIS CROSS 1.5 XI MT,2024,32965,TGDT78,VERDE OSCURO,17080000,www.pompeyo.cl/usados/TGDT78
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,SUZUKI,SWIFT,SWIFT 1.2 GLX PLUS AT,2024,41464,TKXC33,AZUL,13480000,www.pompeyo.cl/usados/TKXC33
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,MG,MG 3,MG3  1.5 STD AT,2023,17236,SYLR78,BLANCO,8880000,www.pompeyo.cl/usados/SYLR78
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,LANDKING,LK3,LK3 1.6 PICK UP DC MT,2026,3806,VLLV35,BLANCO,12680000,www.pompeyo.cl/usados/VLLV35
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,KIA MOTORS,SPORTAGE,SPORTAGE EX 2.0L 6MT GSL.,2023,60835,SFVT49,BLANCO INVIERNO,19980000,www.pompeyo.cl/usados/SFVT49
AUTOSHOPPING,av. Departamental 4500,Macul,PEUGEOT,2008,2008 1.2 ALLURE PACK PURETECH 130 AT,2024,9020,TCGR29,Blanco Okenite,17480000,www.pompeyo.cl/usados/TCGR29
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,KIA MOTORS,SELTOS,SELTOS 1.4 T EX AT,2024,35141,THFG96,AZUL TURQUESA,19180000,www.pompeyo.cl/usados/THFG96
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,MG,HS,NEW MG HS 1.5T DCT TROPHY,2024,18106,TLBC12,AZUL METALIZADO,14680000,www.pompeyo.cl/usados/TLBC12
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,GEELY,COOLRAY,COOLRAY 1.5 AUT,2023,42073,SJRF44,BLANCO,12180000,www.pompeyo.cl/usados/SJRF44
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,X-TRAIL,X-TRAIL 2.5 EXCLUSIVE AT 4X4,2023,22518,SLHK37,AZUL TECHO NEGRO,25380000,www.pompeyo.cl/usados/SLHK37
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,GEELY,AZKARRA,AZKARRA 1.5 TURBO LUXURY AT,2023,6711,SRVC26,ROJO,16980000,www.pompeyo.cl/usados/SRVC26
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,GEELY,STARRAY,STARRAY SIGNATURE 2.0 AT,2025,8445,VGZW93,VERDE,21280000,www.pompeyo.cl/usados/VGZW93
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,CHERY,TIGGO 8,TIGGO 8 1.5 GLS MT,2021,84697,RBJW71,BLANCO,11180000,www.pompeyo.cl/usados/RBJW71
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,VOLKSWAGEN,TIGUAN,TIGUAN TSI 1.4 AUT,2021,97022,LXZG19,GRIS PLATINO,17480000,www.pompeyo.cl/usados/LXZG19
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,CHERY,TIGGO 7,TIGGO 7  1.5 PRO GLS AT,2022,64387,SFBK74,BLANCO METALIZADO,12180000,www.pompeyo.cl/usados/SFBK74
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,MG,MG3,MG3 1.5L AT STD (e5),2024,9258,TSCW92,AZUL OSCURO,9880000,www.pompeyo.cl/usados/TSCW92
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,GEELY,COOLRAY,COOLRAY 1.5 EXCLUSIVE 7DCT AT,2023,46777,SHCJ21,BLANCO,12880000,www.pompeyo.cl/usados/SHCJ21
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,NUEVO 5008,NUEVO 5008 1.6 GT PURETECH 180 AT,2022,75793,RHZS66,BLANCO NACARADO,22080000,www.pompeyo.cl/usados/RHZS66
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,X-TRAIL,NEW X-TRAIL 2.5 SENSE 3ROW AT,2024,38099,TCYG72,BLANCO PERLA,22880000,www.pompeyo.cl/usados/TCYG72
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,PEUGEOT,Landtrek,Landtrek Action4 diesel 180hp 4x4 AT,2025,21,VHBP47,VERDE OLIVA,27680000,www.pompeyo.cl/usados/VHBP47
AUTOSHOPPING,av. Departamental 4500,Macul,GEELY,COOLRAY,COOLRAY 1.5 EXCLUSIVE 7DCT AT,2022,34863,SDKP81,BLANCO,12180000,www.pompeyo.cl/usados/SDKP81
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,MG,GT,GT 1.5 COM MT,2023,29446,SKKW11,AZUL METALIZADO,10180000,www.pompeyo.cl/usados/SKKW11
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,HYUNDAI,GRAND I10,GRAND I-10 1.2 AI3 HB PLUS MT,2023,63006,SKSL13,GRIS GRAFITO,9080000,www.pompeyo.cl/usados/SKSL13
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,GEELY,COOLRAY,COOLRAY 1.5 COMFORT 7DCT AT,2024,18309,TSJR78,AZUL,13280000,www.pompeyo.cl/usados/TSJR78
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,208,208 1.2 ALLURE PACK PURETECH 100 MT,2022,50460,RWWH27,GRIS PLATINUM,10580000,www.pompeyo.cl/usados/RWWH27
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,SUZUKI,BALENO,BALENO 1.5 GLS MT,2024,36455,TGGT46,GRIS PLATA,11780000,www.pompeyo.cl/usados/TGGT46
SEMINUEVOS GRAN AVENIDA,Gran Avenida 6771, San miguel,HYUNDAI,GRAND I10,GRAND I10 1.2 AI3 HB PLUS FL AT,2025,31097,TSXD33,GRIS GRAFITO,11680000,www.pompeyo.cl/usados/TSXD33
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MG,ZX,ZX 1.5 DLX MT (,2023,21826,SLRC15,NEGRO,10180000,www.pompeyo.cl/usados/SLRC15
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,SSANGYONG,REXTON,REXTON 2.2 GLX AT DIESEL,2022,58767,RHZY20,BLANCO PERLA,23580000,www.pompeyo.cl/usados/RHZY20
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,HYUNDAI,CRETA,CRETA 1.5 SU2I PLUS MT,2024,50794,TCRT56,PLATEADO PLATA,14880000,www.pompeyo.cl/usados/TCRT56
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA GS LINE 1.2T AT8,2024,59007,TGDY32,ROJO PEPERONCINO RED,13980000,www.pompeyo.cl/usados/TGDY32
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,KICKS,KICKS 1.6 ADVANCE MT,2024,24180,TPZB22,GRIS METALICO,15480000,www.pompeyo.cl/usados/TPZB22
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,PEUGEOT,3008,3008 1.2 ACTIVE PACK PURETECH 130 MT,2022,78707,SDVC52,GRIS ARTENSE,13880000,www.pompeyo.cl/usados/SDVC52
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA 1.2 EDITION AT,2025,13649,TVXS49,ROJO PEPERONCINO RED,14980000,www.pompeyo.cl/usados/TVXS49
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,OPEL,CORSA,CORSA 1.2 EDITION AT,2024,40783,SZZL11,ROJO PEPERONCINO RED,13280000,www.pompeyo.cl/usados/SZZL11
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,NISSAN,QASHQAI,QASHQAI TURBO 1.3,2023,34203,SRVZ51,PLATEADO PLATA SATIN,18880000,www.pompeyo.cl/usados/SRVZ51
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,NISSAN,X-TRAIL,X-TRAIL 2.5 EXCLUSIVE AT 4X4,2023,21396,SPDP44,ROJO METALICO,25180000,www.pompeyo.cl/usados/SPDP44
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,CHERY,TIGGO 3,TIGGO 3  1.5 GLS AT,2023,60982,SKKS96,AZUL METALIZADO,10180000,www.pompeyo.cl/usados/SKKS96
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,DFSK,SUV 600,600 PHEV Elite Pro,2025,6231,TYKF37,GRIS CLARO,20180000,www.pompeyo.cl/usados/TYKF37
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,CITROEN,BERLINGO,Berlingo MCA M Diesel 100HP MT,2025,21832,VBVK39,BLANCO HIELO,18880000,www.pompeyo.cl/usados/VBVK39
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,DFSK,SUV 600,600 PHEV Elite Pro,2025,7112,VDZJ72,VERDE,20180000,www.pompeyo.cl/usados/VDZJ72
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,DFSK,SUV 600,600 PHEV Elite Pro,2025,15328,TWHH96,VERDE,20180000,www.pompeyo.cl/usados/TWHH96
AUTOSHOPPING,av. Departamental 4500,Macul,NISSAN,X-TRAIL,X-TRAIL 2.5 ADVANCE 3ROW AT,2024,43774,TJBS70,PLATEADO PLATA,24180000,www.pompeyo.cl/usados/TJBS70
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,VERSA,VERSA 1.6 SENSE AT,2017,81546,JJTF57,PLATEADO PLATA,7380000,www.pompeyo.cl/usados/JJTF57
SEMINUEVOS IRARRAZAVAL,Av Irarrazaval 1330 , Ñuñoa,OPEL,MOKKA,MOKKA 1.2T AUT,2023,27892,SPLZ39,BLANCO BANQUISE,14980000,www.pompeyo.cl/usados/SPLZ39
SEMINUEVOS PLAZA OESTE,Av. Américo Vespucio 2451,Cerrillos,NISSAN,VERSA,VERSA MT 1.6,2023,65788,STZR94,PLATEADO,11480000,www.pompeyo.cl/usados/STZR94
SEMINUEVOS MOVICENTER,Américo Vespucio Norte 1155,Huechuraba,OPEL,CORSA,CORSA 4X2 1.2,2025,21367,TZGB99,GRIS ALUMINIUM,12980000,www.pompeyo.cl/usados/TZGB99
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MG,ZX,ZX 1.5 DLX MT (,2022,46780,RJFC78,BLANCO,9380000,www.pompeyo.cl/usados/RJFC78
AUTOSHOPPING,av. Departamental 4500,Macul,RENAULT,KWID,KWID 1.0 HB ZEN MT,2024,22562,TGHJ92,GRIS ESTRELLA,7580000,www.pompeyo.cl/usados/TGHJ92
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,PEUGEOT,2008,2008 PURETECH 130 1.2,2022,69928,RPFV67,BLANCO NACARADO,12880000,www.pompeyo.cl/usados/RPFV67
SEMINUEVOS BILBAO,Av. Francisco Bilbao 5318,Las condes,OPEL,CORSA,CORSA HB 1.2 AUT,2022,47043,SCLG75,GRIS ALUMINIUM,10580000,www.pompeyo.cl/usados/SCLG75
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,SUBARU,FORESTER,FORESTER 2.0 AWD XS AT 4X4,2021,66406,PJHL51,BLANCO CRISTAL PERLADO,19880000,www.pompeyo.cl/usados/PJHL51
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,CHEVROLET,MONTANA,MONTANA 1.2 AUT,2025,16912,VBVB35,NEGRO,18980000,www.pompeyo.cl/usados/VBVB35
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,MG,ZS,ZS 1.5 COM MT,2021,52243,PPSS45,AZUL,8980000,www.pompeyo.cl/usados/PPSS45
SEMINUEVOS MAIPU,Camino a Melipilla 11585,Maipu,DFSK,SUV 500,500  1.5 COMFORT MT,2023,28699,SYLL62,GRIS OSCURO,9180000,www.pompeyo.cl/usados/SYLL62